date,vegetableName,price,units,id,shopingMallPrice,retailPrice
26-01-2022,Dill Leaves,12,1kg,dillLeaves,14 - 20,14 - 15
26-01-2022,Drumsticks,120,1kg,drumsticks,144 - 198,138 - 152
26-01-2022,Brinjal,32,1kg,brinjal,38 - 53,37 - 41
26-01-2022,Brinjal (Big),61,1kg,brinjalBig,73 - 101,70 - 77
26-01-2022,Elephant Yam,30,1kg,elephantYam,36 - 50,35 - 38
26-01-2022,Fenugreek Leaves,13,1kg,fenugreekLeaves,16 - 21,15 - 17
26-01-2022,French Beans,36,1kg,frenchBeans,43 - 59,41 - 46
26-01-2022,Garlic,61,1kg,garlic,73 - 101,70 - 77
26-01-2022,Ginger,31,1kg,ginger,37 - 51,36 - 39
26-01-2022,Onion Green,44,1kg,onionGreen,53 - 73,51 - 56
26-01-2022,Green Peas,55,1kg,greenPeas,66 - 91,63 - 70
26-01-2022,Ivy Gourd,34,1kg,ivyGourd,41 - 56,39 - 43
26-01-2022,Lemon (Lime),35,1kg,lemon,42 - 58,40 - 44
26-01-2022,Mango Raw,71,1kg,mangoRaw,85 - 117,82 - 90
26-01-2022,Mint Leaves,8,1kg,mintLeaves,Oct-13,09-Oct
26-01-2022,Mushroom,84,1kg,mushroom,101 - 139,97 - 107
26-01-2022,Mustard Leaves,15,1kg,mustardLeaves,18 - 25,17 - 19
26-01-2022,Ladies Finger,57,1kg,ladiesFinger,68 - 94,66 - 72
26-01-2022,Pumpkin,27,1kg,pumpkin,32 - 45,31 - 34
26-01-2022,Radish,21,1kg,radish,25 - 35,24 - 27
26-01-2022,Ridge Gourd,31,1kg,ridgeGourd,37 - 51,36 - 39
26-01-2022,Shallot (Pearl Onion),33,1kg,shallot,40 - 54,38 - 42
26-01-2022,Snake Gourd,27,1kg,snakeGourd,32 - 45,31 - 34
26-01-2022,Sorrel Leaves,13,1kg,sorrelLeaves,16 - 21,15 - 17
26-01-2022,Spinach,15,1kg,spinach,18 - 25,17 - 19
26-01-2022,Sweet Potato,38,1kg,sweetPotato,46 - 63,44 - 48
27-01-2022,Onion Big,40,1kg,onionBig,48 - 66,46 - 51
27-01-2022,Onion Small,63,1kg,onionSmall,76 - 104,72 - 80
27-01-2022,Tomato,19,1kg,tomato,23 - 31,22 - 24
27-01-2022,Green Chilli,43,1kg,greenChili,52 - 71,49 - 55
27-01-2022,Beetroot,49,1kg,beetroot,59 - 81,56 - 62
27-01-2022,Potato,22,1kg,potato,26 - 36,25 - 28
27-01-2022,Raw Banana (Plantain),6,1kg,plantain,07-Oct,07-Aug
27-01-2022,Amaranth Leaves,16,1kg,amaranthLeaves,19 - 26,18 - 20
27-01-2022,Amla,50,1kg,amla,60 - 83,58 - 64
27-01-2022,Ash gourd,21,1kg,ashGourd,25 - 35,24 - 27
27-01-2022,Baby Corn,55,1kg,babyCorn,66 - 91,63 - 70
27-01-2022,Banana Flower,17,1kg,bananaFlower,20 - 28,20 - 22
27-01-2022,Capsicum,41,1kg,capsicum,49 - 68,47 - 52
27-01-2022,Bitter Gourd,34,1kg,bitterGourd,41 - 56,39 - 43
27-01-2022,Bottle Gourd,24,1kg,bottleGourd,29 - 40,28 - 30
27-01-2022,Butter Beans,46,1kg,butterBeans,55 - 76,53 - 58
27-01-2022,Broad Beans,44,1kg,broadBeans,53 - 73,51 - 56
27-01-2022,Cabbage,30,1kg,cabbage,36 - 50,35 - 38
27-01-2022,Carrot,70,1kg,carrot,84 - 116,81 - 89
27-01-2022,Cauliflower,44,1kg,cauliflower,53 - 73,51 - 56
27-01-2022,Cluster beans,42,1kg,clusterBeans,50 - 69,48 - 53
27-01-2022,Coconut,34,1kg,coconut,41 - 56,39 - 43
27-01-2022,Colocasia Leaves,13,1kg,colocasiaLeaves,16 - 21,15 - 17
27-01-2022,Colocasia,25,1kg,colocasia,30 - 41,29 - 32
27-01-2022,Coriander Leaves,12,1kg,corianderLeaves,14 - 20,14 - 15
27-01-2022,Corn,33,1kg,corn,40 - 54,38 - 42
27-01-2022,Cucumber,13,1kg,cucumber,16 - 21,15 - 17
27-01-2022,Curry Leaves,35,1kg,curryLeaves,42 - 58,40 - 44
27-01-2022,Dill Leaves,12,1kg,dillLeaves,14 - 20,14 - 15
27-01-2022,Drumsticks,120,1kg,drumsticks,144 - 198,138 - 152
27-01-2022,Brinjal,32,1kg,brinjal,38 - 53,37 - 41
27-01-2022,Brinjal (Big),61,1kg,brinjalBig,73 - 101,70 - 77
27-01-2022,Elephant Yam,30,1kg,elephantYam,36 - 50,35 - 38
27-01-2022,Fenugreek Leaves,13,1kg,fenugreekLeaves,16 - 21,15 - 17
27-01-2022,French Beans,36,1kg,frenchBeans,43 - 59,41 - 46
27-01-2022,Garlic,61,1kg,garlic,73 - 101,70 - 77
27-01-2022,Ginger,31,1kg,ginger,37 - 51,36 - 39
27-01-2022,Onion Green,44,1kg,onionGreen,53 - 73,51 - 56
27-01-2022,Green Peas,55,1kg,greenPeas,66 - 91,63 - 70
27-01-2022,Ivy Gourd,34,1kg,ivyGourd,41 - 56,39 - 43
27-01-2022,Lemon (Lime),35,1kg,lemon,42 - 58,40 - 44
27-01-2022,Mango Raw,71,1kg,mangoRaw,85 - 117,82 - 90
27-01-2022,Mint Leaves,8,1kg,mintLeaves,Oct-13,09-Oct
27-01-2022,Mushroom,84,1kg,mushroom,101 - 139,97 - 107
27-01-2022,Mustard Leaves,15,1kg,mustardLeaves,18 - 25,17 - 19
27-01-2022,Ladies Finger,57,1kg,ladiesFinger,68 - 94,66 - 72
27-01-2022,Pumpkin,27,1kg,pumpkin,32 - 45,31 - 34
27-01-2022,Radish,21,1kg,radish,25 - 35,24 - 27
27-01-2022,Ridge Gourd,31,1kg,ridgeGourd,37 - 51,36 - 39
27-01-2022,Shallot (Pearl Onion),33,1kg,shallot,40 - 54,38 - 42
27-01-2022,Snake Gourd,27,1kg,snakeGourd,32 - 45,31 - 34
27-01-2022,Sorrel Leaves,13,1kg,sorrelLeaves,16 - 21,15 - 17
27-01-2022,Spinach,15,1kg,spinach,18 - 25,17 - 19
27-01-2022,Sweet Potato,38,1kg,sweetPotato,46 - 63,44 - 48
28-01-2022,Onion Big,34,1kg,onionBig,41 - 56,39 - 43
28-01-2022,Onion Small,59,1kg,onionSmall,71 - 97,68 - 75
28-01-2022,Tomato,20,1kg,tomato,24 - 33,23 - 25
28-01-2022,Green Chilli,35,1kg,greenChili,42 - 58,40 - 44
28-01-2022,Beetroot,47,1kg,beetroot,56 - 78,54 - 60
28-01-2022,Potato,23,1kg,potato,28 - 38,26 - 29
28-01-2022,Raw Banana (Plantain),7,1kg,plantain,08-Dec,08-Sep
28-01-2022,Amaranth Leaves,16,1kg,amaranthLeaves,19 - 26,18 - 20
28-01-2022,Amla,60,1kg,amla,72 - 99,69 - 76
28-01-2022,Ash gourd,24,1kg,ashGourd,29 - 40,28 - 30
28-01-2022,Baby Corn,52,1kg,babyCorn,62 - 86,60 - 66
28-01-2022,Banana Flower,16,1kg,bananaFlower,19 - 26,18 - 20
28-01-2022,Capsicum,38,1kg,capsicum,46 - 63,44 - 48
28-01-2022,Bitter Gourd,36,1kg,bitterGourd,43 - 59,41 - 46
28-01-2022,Bottle Gourd,28,1kg,bottleGourd,34 - 46,32 - 36
28-01-2022,Butter Beans,47,1kg,butterBeans,56 - 78,54 - 60
28-01-2022,Broad Beans,40,1kg,broadBeans,48 - 66,46 - 51
28-01-2022,Cabbage,29,1kg,cabbage,35 - 48,33 - 37
28-01-2022,Carrot,69,1kg,carrot,83 - 114,79 - 88
28-01-2022,Cauliflower,44,1kg,cauliflower,53 - 73,51 - 56
28-01-2022,Cluster beans,40,1kg,clusterBeans,48 - 66,46 - 51
28-01-2022,Coconut,34,1kg,coconut,41 - 56,39 - 43
28-01-2022,Colocasia Leaves,11,1kg,colocasiaLeaves,13 - 18,13 - 14
28-01-2022,Colocasia,25,1kg,colocasia,30 - 41,29 - 32
28-01-2022,Coriander Leaves,7,1kg,corianderLeaves,08-Dec,08-Sep
28-01-2022,Corn,33,1kg,corn,40 - 54,38 - 42
28-01-2022,Cucumber,12,1kg,cucumber,14 - 20,14 - 15
28-01-2022,Curry Leaves,37,1kg,curryLeaves,44 - 61,43 - 47
28-01-2022,Dill Leaves,12,1kg,dillLeaves,14 - 20,14 - 15
28-01-2022,Drumsticks,140,1kg,drumsticks,168 - 231,161 - 178
28-01-2022,Brinjal,31,1kg,brinjal,37 - 51,36 - 39
28-01-2022,Brinjal (Big),64,1kg,brinjalBig,77 - 106,74 - 81
28-01-2022,Elephant Yam,27,1kg,elephantYam,32 - 45,31 - 34
28-01-2022,Fenugreek Leaves,13,1kg,fenugreekLeaves,16 - 21,15 - 17
28-01-2022,French Beans,39,1kg,frenchBeans,47 - 64,45 - 50
28-01-2022,Garlic,64,1kg,garlic,77 - 106,74 - 81
28-01-2022,Ginger,30,1kg,ginger,36 - 50,35 - 38
28-01-2022,Onion Green,43,1kg,onionGreen,52 - 71,49 - 55
28-01-2022,Green Peas,51,1kg,greenPeas,61 - 84,59 - 65
28-01-2022,Ivy Gourd,35,1kg,ivyGourd,42 - 58,40 - 44
28-01-2022,Lemon (Lime),40,1kg,lemon,48 - 66,46 - 51
28-01-2022,Mango Raw,70,1kg,mangoRaw,84 - 116,81 - 89
28-01-2022,Mint Leaves,7,1kg,mintLeaves,08-Dec,08-Sep
28-01-2022,Mushroom,77,1kg,mushroom,92 - 127,89 - 98
28-01-2022,Mustard Leaves,20,1kg,mustardLeaves,24 - 33,23 - 25
28-01-2022,Ladies Finger,57,1kg,ladiesFinger,68 - 94,66 - 72
28-01-2022,Pumpkin,24,1kg,pumpkin,29 - 40,28 - 30
28-01-2022,Radish,23,1kg,radish,28 - 38,26 - 29
28-01-2022,Ridge Gourd,35,1kg,ridgeGourd,42 - 58,40 - 44
28-01-2022,Shallot (Pearl Onion),30,1kg,shallot,36 - 50,35 - 38
28-01-2022,Snake Gourd,24,1kg,snakeGourd,29 - 40,28 - 30
28-01-2022,Sorrel Leaves,11,1kg,sorrelLeaves,13 - 18,13 - 14
28-01-2022,Spinach,11,1kg,spinach,13 - 18,13 - 14
28-01-2022,Sweet Potato,45,1kg,sweetPotato,54 - 74,52 - 57
29-01-2022,Onion Big,34,1kg,onionBig,41 - 56,39 - 43
29-01-2022,Onion Small,59,1kg,onionSmall,71 - 97,68 - 75
29-01-2022,Tomato,20,1kg,tomato,24 - 33,23 - 25
29-01-2022,Green Chilli,35,1kg,greenChili,42 - 58,40 - 44
29-01-2022,Beetroot,47,1kg,beetroot,56 - 78,54 - 60
29-01-2022,Potato,23,1kg,potato,28 - 38,26 - 29
29-01-2022,Raw Banana (Plantain),7,1kg,plantain,08-Dec,08-Sep
29-01-2022,Amaranth Leaves,16,1kg,amaranthLeaves,19 - 26,18 - 20
29-01-2022,Amla,60,1kg,amla,72 - 99,69 - 76
29-01-2022,Ash gourd,24,1kg,ashGourd,29 - 40,28 - 30
29-01-2022,Baby Corn,52,1kg,babyCorn,62 - 86,60 - 66
29-01-2022,Banana Flower,16,1kg,bananaFlower,19 - 26,18 - 20
29-01-2022,Capsicum,38,1kg,capsicum,46 - 63,44 - 48
29-01-2022,Bitter Gourd,36,1kg,bitterGourd,43 - 59,41 - 46
29-01-2022,Bottle Gourd,28,1kg,bottleGourd,34 - 46,32 - 36
29-01-2022,Butter Beans,47,1kg,butterBeans,56 - 78,54 - 60
29-01-2022,Broad Beans,40,1kg,broadBeans,48 - 66,46 - 51
29-01-2022,Cabbage,29,1kg,cabbage,35 - 48,33 - 37
29-01-2022,Carrot,69,1kg,carrot,83 - 114,79 - 88
29-01-2022,Cauliflower,44,1kg,cauliflower,53 - 73,51 - 56
29-01-2022,Cluster beans,40,1kg,clusterBeans,48 - 66,46 - 51
29-01-2022,Coconut,34,1kg,coconut,41 - 56,39 - 43
29-01-2022,Colocasia Leaves,11,1kg,colocasiaLeaves,13 - 18,13 - 14
29-01-2022,Colocasia,25,1kg,colocasia,30 - 41,29 - 32
29-01-2022,Coriander Leaves,7,1kg,corianderLeaves,08-Dec,08-Sep
29-01-2022,Corn,33,1kg,corn,40 - 54,38 - 42
29-01-2022,Cucumber,12,1kg,cucumber,14 - 20,14 - 15
29-01-2022,Curry Leaves,37,1kg,curryLeaves,44 - 61,43 - 47
29-01-2022,Dill Leaves,12,1kg,dillLeaves,14 - 20,14 - 15
29-01-2022,Drumsticks,140,1kg,drumsticks,168 - 231,161 - 178
29-01-2022,Brinjal,31,1kg,brinjal,37 - 51,36 - 39
29-01-2022,Brinjal (Big),64,1kg,brinjalBig,77 - 106,74 - 81
29-01-2022,Elephant Yam,27,1kg,elephantYam,32 - 45,31 - 34
29-01-2022,Fenugreek Leaves,13,1kg,fenugreekLeaves,16 - 21,15 - 17
29-01-2022,French Beans,39,1kg,frenchBeans,47 - 64,45 - 50
29-01-2022,Garlic,64,1kg,garlic,77 - 106,74 - 81
29-01-2022,Ginger,30,1kg,ginger,36 - 50,35 - 38
29-01-2022,Onion Green,43,1kg,onionGreen,52 - 71,49 - 55
29-01-2022,Green Peas,51,1kg,greenPeas,61 - 84,59 - 65
29-01-2022,Ivy Gourd,35,1kg,ivyGourd,42 - 58,40 - 44
29-01-2022,Lemon (Lime),40,1kg,lemon,48 - 66,46 - 51
29-01-2022,Mango Raw,70,1kg,mangoRaw,84 - 116,81 - 89
29-01-2022,Mint Leaves,7,1kg,mintLeaves,08-Dec,08-Sep
29-01-2022,Mushroom,77,1kg,mushroom,92 - 127,89 - 98
29-01-2022,Mustard Leaves,20,1kg,mustardLeaves,24 - 33,23 - 25
29-01-2022,Ladies Finger,57,1kg,ladiesFinger,68 - 94,66 - 72
29-01-2022,Pumpkin,24,1kg,pumpkin,29 - 40,28 - 30
29-01-2022,Radish,23,1kg,radish,28 - 38,26 - 29
29-01-2022,Ridge Gourd,35,1kg,ridgeGourd,42 - 58,40 - 44
29-01-2022,Shallot (Pearl Onion),30,1kg,shallot,36 - 50,35 - 38
29-01-2022,Snake Gourd,24,1kg,snakeGourd,29 - 40,28 - 30
29-01-2022,Sorrel Leaves,11,1kg,sorrelLeaves,13 - 18,13 - 14
29-01-2022,Spinach,11,1kg,spinach,13 - 18,13 - 14
29-01-2022,Sweet Potato,45,1kg,sweetPotato,54 - 74,52 - 57
30-01-2022,Onion Big,40,1kg,onionBig,48 - 66,46 - 51
30-01-2022,Onion Small,61,1kg,onionSmall,73 - 101,70 - 77
30-01-2022,Tomato,19,1kg,tomato,23 - 31,22 - 24
30-01-2022,Green Chilli,38,1kg,greenChili,46 - 63,44 - 48
30-01-2022,Beetroot,46,1kg,beetroot,55 - 76,53 - 58
30-01-2022,Potato,23,1kg,potato,28 - 38,26 - 29
30-01-2022,Raw Banana (Plantain),6,1kg,plantain,07-Oct,07-Aug
30-01-2022,Amaranth Leaves,12,1kg,amaranthLeaves,14 - 20,14 - 15
30-01-2022,Amla,50,1kg,amla,60 - 83,58 - 64
30-01-2022,Ash gourd,20,1kg,ashGourd,24 - 33,23 - 25
30-01-2022,Baby Corn,52,1kg,babyCorn,62 - 86,60 - 66
30-01-2022,Banana Flower,16,1kg,bananaFlower,19 - 26,18 - 20
30-01-2022,Capsicum,44,1kg,capsicum,53 - 73,51 - 56
30-01-2022,Bitter Gourd,34,1kg,bitterGourd,41 - 56,39 - 43
30-01-2022,Bottle Gourd,25,1kg,bottleGourd,30 - 41,29 - 32
30-01-2022,Butter Beans,41,1kg,butterBeans,49 - 68,47 - 52
30-01-2022,Broad Beans,43,1kg,broadBeans,52 - 71,49 - 55
30-01-2022,Cabbage,26,1kg,cabbage,31 - 43,30 - 33
30-01-2022,Carrot,69,1kg,carrot,83 - 114,79 - 88
30-01-2022,Cauliflower,44,1kg,cauliflower,53 - 73,51 - 56
30-01-2022,Cluster beans,49,1kg,clusterBeans,59 - 81,56 - 62
30-01-2022,Coconut,33,1kg,coconut,40 - 54,38 - 42
30-01-2022,Colocasia Leaves,14,1kg,colocasiaLeaves,17 - 23,16 - 18
30-01-2022,Colocasia,24,1kg,colocasia,29 - 40,28 - 30
30-01-2022,Coriander Leaves,8,1kg,corianderLeaves,Oct-13,09-Oct
30-01-2022,Corn,33,1kg,corn,40 - 54,38 - 42
30-01-2022,Cucumber,14,1kg,cucumber,17 - 23,16 - 18
30-01-2022,Curry Leaves,36,1kg,curryLeaves,43 - 59,41 - 46
30-01-2022,Dill Leaves,18,1kg,dillLeaves,22 - 30,21 - 23
30-01-2022,Drumsticks,150,1kg,drumsticks,180 - 248,173 - 191
30-01-2022,Brinjal,32,1kg,brinjal,38 - 53,37 - 41
30-01-2022,Brinjal (Big),64,1kg,brinjalBig,77 - 106,74 - 81
30-01-2022,Elephant Yam,25,1kg,elephantYam,30 - 41,29 - 32
30-01-2022,Fenugreek Leaves,13,1kg,fenugreekLeaves,16 - 21,15 - 17
30-01-2022,French Beans,41,1kg,frenchBeans,49 - 68,47 - 52
30-01-2022,Garlic,63,1kg,garlic,76 - 104,72 - 80
30-01-2022,Ginger,32,1kg,ginger,38 - 53,37 - 41
30-01-2022,Onion Green,36,1kg,onionGreen,43 - 59,41 - 46
30-01-2022,Green Peas,48,1kg,greenPeas,58 - 79,55 - 61
30-01-2022,Ivy Gourd,34,1kg,ivyGourd,41 - 56,39 - 43
30-01-2022,Lemon (Lime),36,1kg,lemon,43 - 59,41 - 46
30-01-2022,Mango Raw,81,1kg,mangoRaw,97 - 134,93 - 103
30-01-2022,Mint Leaves,9,1kg,mintLeaves,Nov-15,10-Nov
30-01-2022,Mushroom,83,1kg,mushroom,100 - 137,95 - 105
30-01-2022,Mustard Leaves,19,1kg,mustardLeaves,23 - 31,22 - 24
30-01-2022,Ladies Finger,56,1kg,ladiesFinger,67 - 92,64 - 71
30-01-2022,Pumpkin,23,1kg,pumpkin,28 - 38,26 - 29
30-01-2022,Radish,24,1kg,radish,29 - 40,28 - 30
30-01-2022,Ridge Gourd,30,1kg,ridgeGourd,36 - 50,35 - 38
30-01-2022,Shallot (Pearl Onion),37,1kg,shallot,44 - 61,43 - 47
30-01-2022,Snake Gourd,24,1kg,snakeGourd,29 - 40,28 - 30
30-01-2022,Sorrel Leaves,12,1kg,sorrelLeaves,14 - 20,14 - 15
30-01-2022,Spinach,12,1kg,spinach,14 - 20,14 - 15
30-01-2022,Sweet Potato,40,1kg,sweetPotato,48 - 66,46 - 51
31-01-2022,Onion Big,40,1kg,onionBig,48 - 66,46 - 51
31-01-2022,Onion Small,61,1kg,onionSmall,73 - 101,70 - 77
31-01-2022,Tomato,19,1kg,tomato,23 - 31,22 - 24
31-01-2022,Green Chilli,38,1kg,greenChili,46 - 63,44 - 48
31-01-2022,Beetroot,46,1kg,beetroot,55 - 76,53 - 58
31-01-2022,Potato,23,1kg,potato,28 - 38,26 - 29
31-01-2022,Raw Banana (Plantain),6,1kg,plantain,07-Oct,07-Aug
31-01-2022,Amaranth Leaves,12,1kg,amaranthLeaves,14 - 20,14 - 15
31-01-2022,Amla,50,1kg,amla,60 - 83,58 - 64
31-01-2022,Ash gourd,20,1kg,ashGourd,24 - 33,23 - 25
31-01-2022,Baby Corn,52,1kg,babyCorn,62 - 86,60 - 66
31-01-2022,Banana Flower,16,1kg,bananaFlower,19 - 26,18 - 20
31-01-2022,Capsicum,44,1kg,capsicum,53 - 73,51 - 56
31-01-2022,Bitter Gourd,34,1kg,bitterGourd,41 - 56,39 - 43
31-01-2022,Bottle Gourd,25,1kg,bottleGourd,30 - 41,29 - 32
31-01-2022,Butter Beans,41,1kg,butterBeans,49 - 68,47 - 52
31-01-2022,Broad Beans,43,1kg,broadBeans,52 - 71,49 - 55
31-01-2022,Cabbage,26,1kg,cabbage,31 - 43,30 - 33
31-01-2022,Carrot,69,1kg,carrot,83 - 114,79 - 88
31-01-2022,Cauliflower,44,1kg,cauliflower,53 - 73,51 - 56
31-01-2022,Cluster beans,49,1kg,clusterBeans,59 - 81,56 - 62
31-01-2022,Coconut,33,1kg,coconut,40 - 54,38 - 42
31-01-2022,Colocasia Leaves,14,1kg,colocasiaLeaves,17 - 23,16 - 18
31-01-2022,Colocasia,24,1kg,colocasia,29 - 40,28 - 30
31-01-2022,Coriander Leaves,8,1kg,corianderLeaves,Oct-13,09-Oct
31-01-2022,Corn,33,1kg,corn,40 - 54,38 - 42
31-01-2022,Cucumber,14,1kg,cucumber,17 - 23,16 - 18
31-01-2022,Curry Leaves,36,1kg,curryLeaves,43 - 59,41 - 46
31-01-2022,Dill Leaves,18,1kg,dillLeaves,22 - 30,21 - 23
31-01-2022,Drumsticks,150,1kg,drumsticks,180 - 248,173 - 191
31-01-2022,Brinjal,32,1kg,brinjal,38 - 53,37 - 41
31-01-2022,Brinjal (Big),64,1kg,brinjalBig,77 - 106,74 - 81
31-01-2022,Elephant Yam,25,1kg,elephantYam,30 - 41,29 - 32
31-01-2022,Fenugreek Leaves,13,1kg,fenugreekLeaves,16 - 21,15 - 17
31-01-2022,French Beans,41,1kg,frenchBeans,49 - 68,47 - 52
31-01-2022,Garlic,63,1kg,garlic,76 - 104,72 - 80
31-01-2022,Ginger,32,1kg,ginger,38 - 53,37 - 41
31-01-2022,Onion Green,36,1kg,onionGreen,43 - 59,41 - 46
31-01-2022,Green Peas,48,1kg,greenPeas,58 - 79,55 - 61
31-01-2022,Ivy Gourd,34,1kg,ivyGourd,41 - 56,39 - 43
31-01-2022,Lemon (Lime),36,1kg,lemon,43 - 59,41 - 46
31-01-2022,Mango Raw,81,1kg,mangoRaw,97 - 134,93 - 103
31-01-2022,Mint Leaves,9,1kg,mintLeaves,Nov-15,10-Nov
31-01-2022,Mushroom,83,1kg,mushroom,100 - 137,95 - 105
31-01-2022,Mustard Leaves,19,1kg,mustardLeaves,23 - 31,22 - 24
31-01-2022,Ladies Finger,56,1kg,ladiesFinger,67 - 92,64 - 71
31-01-2022,Pumpkin,23,1kg,pumpkin,28 - 38,26 - 29
31-01-2022,Radish,24,1kg,radish,29 - 40,28 - 30
31-01-2022,Ridge Gourd,30,1kg,ridgeGourd,36 - 50,35 - 38
31-01-2022,Shallot (Pearl Onion),37,1kg,shallot,44 - 61,43 - 47
31-01-2022,Snake Gourd,24,1kg,snakeGourd,29 - 40,28 - 30
31-01-2022,Sorrel Leaves,12,1kg,sorrelLeaves,14 - 20,14 - 15
31-01-2022,Spinach,12,1kg,spinach,14 - 20,14 - 15
31-01-2022,Sweet Potato,40,1kg,sweetPotato,48 - 66,46 - 51
01-02-2022,Onion Big,40,1kg,onionBig,48 - 66,46 - 51
01-02-2022,Onion Small,61,1kg,onionSmall,73 - 101,70 - 77
01-02-2022,Tomato,19,1kg,tomato,23 - 31,22 - 24
01-02-2022,Green Chilli,38,1kg,greenChili,46 - 63,44 - 48
01-02-2022,Beetroot,46,1kg,beetroot,55 - 76,53 - 58
01-02-2022,Potato,23,1kg,potato,28 - 38,26 - 29
01-02-2022,Raw Banana (Plantain),6,1kg,plantain,07-Oct,07-Aug
01-02-2022,Amaranth Leaves,12,1kg,amaranthLeaves,14 - 20,14 - 15
01-02-2022,Amla,50,1kg,amla,60 - 83,58 - 64
01-02-2022,Ash gourd,20,1kg,ashGourd,24 - 33,23 - 25
01-02-2022,Baby Corn,52,1kg,babyCorn,62 - 86,60 - 66
01-02-2022,Banana Flower,16,1kg,bananaFlower,19 - 26,18 - 20
01-02-2022,Capsicum,44,1kg,capsicum,53 - 73,51 - 56
01-02-2022,Bitter Gourd,34,1kg,bitterGourd,41 - 56,39 - 43
01-02-2022,Bottle Gourd,25,1kg,bottleGourd,30 - 41,29 - 32
01-02-2022,Butter Beans,41,1kg,butterBeans,49 - 68,47 - 52
01-02-2022,Broad Beans,43,1kg,broadBeans,52 - 71,49 - 55
01-02-2022,Cabbage,26,1kg,cabbage,31 - 43,30 - 33
01-02-2022,Carrot,69,1kg,carrot,83 - 114,79 - 88
01-02-2022,Cauliflower,44,1kg,cauliflower,53 - 73,51 - 56
01-02-2022,Cluster beans,49,1kg,clusterBeans,59 - 81,56 - 62
01-02-2022,Coconut,33,1kg,coconut,40 - 54,38 - 42
01-02-2022,Colocasia Leaves,14,1kg,colocasiaLeaves,17 - 23,16 - 18
01-02-2022,Colocasia,24,1kg,colocasia,29 - 40,28 - 30
01-02-2022,Coriander Leaves,8,1kg,corianderLeaves,Oct-13,09-Oct
01-02-2022,Corn,33,1kg,corn,40 - 54,38 - 42
01-02-2022,Cucumber,14,1kg,cucumber,17 - 23,16 - 18
01-02-2022,Curry Leaves,36,1kg,curryLeaves,43 - 59,41 - 46
01-02-2022,Dill Leaves,18,1kg,dillLeaves,22 - 30,21 - 23
01-02-2022,Drumsticks,150,1kg,drumsticks,180 - 248,173 - 191
01-02-2022,Brinjal,32,1kg,brinjal,38 - 53,37 - 41
01-02-2022,Brinjal (Big),64,1kg,brinjalBig,77 - 106,74 - 81
01-02-2022,Elephant Yam,25,1kg,elephantYam,30 - 41,29 - 32
01-02-2022,Fenugreek Leaves,13,1kg,fenugreekLeaves,16 - 21,15 - 17
01-02-2022,French Beans,41,1kg,frenchBeans,49 - 68,47 - 52
01-02-2022,Garlic,63,1kg,garlic,76 - 104,72 - 80
01-02-2022,Ginger,32,1kg,ginger,38 - 53,37 - 41
01-02-2022,Onion Green,36,1kg,onionGreen,43 - 59,41 - 46
01-02-2022,Green Peas,48,1kg,greenPeas,58 - 79,55 - 61
01-02-2022,Ivy Gourd,34,1kg,ivyGourd,41 - 56,39 - 43
01-02-2022,Lemon (Lime),36,1kg,lemon,43 - 59,41 - 46
01-02-2022,Mango Raw,81,1kg,mangoRaw,97 - 134,93 - 103
